Comments
What is the 95/96 team
Can't believe psg is in the list
""
Psg No history? 🤫
"Wym Madrid joined… they were already there :) city joined, Madrid came back"
""
""
21/22 season 🔥
"Madrid was already there, City joined"
« PSG have no history » 🤡
""
PSG ❤️💙
Bayern❤️
Take a look at cities group then youll see why
Mancity  are great
Madrid and Bayern have done it 3 times 😮🔥
It was way less likely to happen back in the days
Ten Hag's Ajax 😍
Bayern dominant
What is Spartak doing there 😂😂😂
"Spartak Moscow : ""where am I"""
""
That 2021 Ajax 😮‍💨🥵
""
Where's my Goat pessi
Messi non c'è mai riuscito🤷🏻‍♂️
BAYERN and Madrid are the greatest club of all time (I'm a Bayern fan 😎)
Guess who get Ajax perfect record that year
Madrid did not join. They have always been there
The tournament ends in Madrid 🤍
not hard for city when they’re playing against a bunch of nobodies 😂😂
""
Bayern and madrid dominating as always 🙌
Spartak❤️❤️❤️
but but PSG was nothing before Qatar 🤡🤡
Madrid ans munchin are kings 👑
""
Dont compare the great madrid to man 💩💩
Guardiola used 11 subs… ancelotti doesnt even know who is on his bench.
ICI C'EST PARIS
"""PSG is shit before Qatar"""
"Weird, don’t see Barca on the list 💀"
""
Liverpool in 21/22 group of death🥶🥶
"Bring them at Etihad,we will smash them 4-0 again 👏💙"
@fcsm_official в списке рекордсменов @championsleague на все времена 💪❤️🤍
@fcsm_official 🔴⚪️
@dxffaa._ @senu07_ mane Chelsea
